Cap,Salt,Cadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,ConcCor,CorConc,ugElementPermgDW,ugElement
66,0,1,1,1,root,0.00109,0.7,SKT_39,K,0.534953939,0.535,0.432371879,0.442028131,3.475974817824377,3.7888125514285713
67,0,1,1,2,old leaf,0.02225,0.5,SKT_40,K,23.40693558,23.41,23.30435352,23.314009772,12.573847966921349,279.768117264
68,0,1,1,2,young leaf,0.01885,0.7,SKT_41,K,25.30705469,25.31,25.20447263,25.214128882,11.465310594316032,216.12110470285717
69,0,1,1,2,root,0.00414,0.7,SKT_42,K,1.170769433,1.171,1.068187373,1.077843625,2.23156030020704,9.238659642857145
70,0,1,1,3,old leaf,0.05336,0.5,SKT_43,K,40.03762649,40.04,39.93504443,39.944700682000004,8.983066120389806,479.33640818400005
71,0,1,1,3,young leaf,0.01974,0.7,SKT_44,K,28.38188121,28.38,28.27929915,28.288955402,12.28352383933999,242.47676058857144
72,0,1,1,3,root,0.00194,0.7,SKT_45,K,0.718054232,0.718,0.615472172,0.6251284239999999,2.76198125478645,5.358243634285714
73,0,1,2,1,old leaf,0.01725,0.7,SKT_46,K,29.64866295,29.65,29.54608089,29.555737141999998,14.686080567453416,253.33488978857142
74,0,1,2,1,young leaf,0.01065,0.7,SKT_47,K,23.89515429,23.9,23.79257223,23.802228482,19.156723124346076,204.01910127428573
75,0,1,2,1,root,9e-4,0.7,SKT_48,K,0.271022535,0.271,0.168440475,0.178096727,1.6961593047619048,1.5265433742857144
76,0,1,2,2,old leaf,0.06388,0.4,SKT_49,K,50.94803393,50.95,50.84545187,50.855108122000004,11.941556384314339,762.8266218300001
77,0,1,2,2,young leaf,0.02182,0.5,SKT_50,K,18.7143799,18.71,18.61179784,18.621454092,10.240946338405132,223.457449104
78,0,1,2,2,root,0.00432,0.7,SKT_51,K,5.142560718,5.143,5.039978658,5.04963491,10.019116884920635,43.28258494285715
79,0,1,2,3,old leaf,0.09999,0.4,SKT_52,K,49.60523582,49.61,49.50265376,49.512310012,7.427589260726072,742.68465018
80,0,1,2,3,young leaf,0.04808,0.5,SKT_53,K,48.06472847,48.06,47.96214641,47.971802662,11.972995672712146,575.661631944
81,0,1,2,3,root,0.00432,0.7,SKT_54,K,1.410699637,1.411,1.308117577,1.317773829,2.614630613095238,11.29520424857143
1,1,0,0,1,old leaf,0.10951,0.4,SKT_01,Fe,0.197924103,0.198,0.170745855,0.170874151,0.023405280476668795,2.5631122649999996
2,1,0,0,1,young leaf,0.026,0.5,SKT_02,Fe,0.094855086,0.095,0.067676838,0.067805134,0.03129467723076924,0.8136616080000001
3,1,0,0,1,root,0.0029,0.7,SKT_03,Fe,2.048383736,2.048,2.021205488,2.021333784,5.974385568472907,17.32571814857143
4,1,0,0,2,old leaf,0.04946,0.5,SKT_04,Fe,0.103601682,0.104,0.076423434,0.07655173,0.018573003639304492,0.91862076
5,1,0,0,2,young leaf,0.01384,0.7,SKT_05,Fe,0.062187006,0.062,0.035008758,0.035137054,0.02176118125516103,0.3011747485714286
6,1,0,0,2,root,8.7e-4,0.7,SKT_06,Fe,1.103418605,1.103,1.076240357,1.076368653,10.604617270935961,9.226017025714286
7,1,0,0,3,old leaf,0.06652,0.4,SKT_07,Fe,0.112276163,0.112,0.085097915,0.085226211,0.01921817746542393,1.2783931649999998
8,1,0,0,3,young leaf,0.04741,0.5,SKT_08,Fe,0.12384937,0.124,0.096671122,0.096799418,0.024501012782113474,1.1615930159999999
9,1,0,0,3,root,0.00169,0.7,SKT_09,Fe,1.323411354,1.323,1.296233106,1.296361402,6.5749521656804735,11.111669160000002
10,1,0,1,1,old leaf,0.06685,0.4,SKT_10,Fe,0.098948901,0.099,0.071770653,0.071898949,0.016132898055347792,1.0784842350000001
11,1,0,1,1,young leaf,0.0075,0.7,SKT_11,Fe,0.05712658,0.057,0.029948332,0.030076628000000005,0.03437328914285715,0.2577996685714286
12,1,0,1,1,root,0.00146,0.7,SKT_12,Fe,1.307073742,1.307,1.279895494,1.28002379,7.514816771037182,10.971632485714286
13,1,0,1,2,old leaf,0.01357,0.7,SKT_13,Fe,0.062631413,0.063,0.035453165,0.035581460999999995,0.0224748674597326,0.3049839514285714
14,1,0,1,2,young leaf,0.00244,0.7,SKT_14,Fe,0.037249279,0.037,0.010071031,0.010199327000000005,0.03582901756440283,0.0874228028571429
15,1,0,1,2,root,8.6e-4,0.7,SKT_15,Fe,1.813194486,1.813,1.786016238,1.786144534,17.802104990033225,15.309810291428573
16,1,0,1,3,old leaf,0.03447,0.5,SKT_16,Fe,0.100243544,0.1,0.073065296,0.073193592,0.025480797911227156,0.878323104
17,1,0,1,3,young leaf,0.01089,0.7,SKT_17,Fe,0.107704707,0.108,0.080526459,0.080654755,0.06348268791814246,0.6913264714285714
18,1,0,1,3,root,0.0102,0.7,SKT_18,Fe,13.74116224,13.74,13.71398399,13.714112287999999,11.524464107563025,117.54953389714287
19,1,0,2,1,old leaf,0.03178,0.5,SKT_19,Fe,0.081497696,0.081,0.054319448,0.05444774399999999,0.02055924883574575,0.6533729279999999
20,1,0,2,1,young leaf,0.00796,0.7,SKT_20,Fe,0.058187901,0.058,0.031009653,0.031137949,0.03352973689877962,0.26689670571428575
21,1,0,2,1,root,0.00145,0.7,SKT_21,Fe,0.902816001,0.903,0.875729375,0.875766049,5.176942161576355,7.506566134285714
22,1,0,2,2,old leaf,0.01486,0.7,SKT_22,Fe,0.057550642,0.058,0.030464016,0.03050069,0.01759316862141896,0.26143448571428574
23,1,0,2,2,young leaf,0.00285,0.7,SKT_23,Fe,0.051913398,0.052,0.024826772,0.024863446,0.07477728120300753,0.21311525142857146
24,1,0,2,2,root,0.00329,0.7,SKT_24,Fe,1.51474325,1.515,1.487656624,1.487693298,3.8758835379939214,12.75165684
25,1,0,2,3,old leaf,0.03215,0.5,SKT_25,Fe,0.113021721,0.113,0.085935095,0.085971769,0.03208899620528771,1.031661228
26,1,0,2,3,young leaf,0.0097,0.7,SKT_26,Fe,0.080485604,0.08,0.053398978,0.053435652,0.04721854374079529,0.45801987428571433
