Cap,Salt,Cadmium,Timepoint,Plant,TissueType,WetWeight,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
45,0,0,1,3,root,0.122,0.00493,0.7,SKT_18,Fe,3.417441045,3.417,3.395851922,5.904118090988119,29.107302188571428
46,0,0,2,1,old leaf,0.065,0.00734,0.7,SKT_19,Fe,0.038832602,0.039,0.017243479,0.020136409887115608,0.14780124857142857
47,0,0,2,1,young leaf,0.066,0.00558,0.7,SKT_20,Fe,0.012628421,0.013,0,0,0
48,0,0,2,1,root,0.01,6.9e-4,0.9,SKT_21,Fe,0.194413892,0.194,0.172824769,1.6698045314009662,1.1521651266666666
49,0,0,2,2,old leaf,0.266,0.03089,0.7,SKT_22,Fe,0.102463205,0.102,0.080874082,0.02244112713314526,0.6932064171428571
50,0,0,2,2,young leaf,0.129,0.0157,0.7,SKT_23,Fe,0.060148386,0.06,0.038559262999999996,0.02105146296633303,0.33050796857142856
51,0,0,2,2,root,0.087,0.00293,0.7,SKT_24,Fe,1.071670794,1.072,1.050081671,3.0719112754753786,9.000700037142858
52,0,0,2,3,old leaf,0.417,0.05331,0.7,SKT_25,Fe,0.20136834,0.201,0.179779217,0.028905734705362167,1.540964717142857
53,0,0,2,3,young leaf,0.115,0.01395,0.7,SKT_26,Fe,0.106008803,0.106,0.08441968,0.051870771121351765,0.7235972571428572
54,0,0,2,3,root,0.165,0.0067,0.7,SKT_27,Fe,3.868826774,3.869,3.847237651,4.921839212366737,32.97632272285714
82,1,1,0,1,old leaf,0.24,0.02167,0.7,SKT_28,Fe,0.149019294,0.149,0.12743017099999998,0.05040418129079043,1.0922586085714285
83,1,1,0,1,young leaf,0.078,0.00766,0.7,SKT_29,Fe,0.120386719,0.12,0.098797596,0.11055307273405447,0.8468365371428572
84,1,1,0,1,root,0.324,0.00413,0.7,SKT_30,Fe,3.962669837,3.963,3.941080714,8.179344269802836,33.78069183428571
85,1,1,0,2,old leaf,0.668,0.08326,0.7,SKT_31,Fe,0.676990616,0.677,0.655401493,0.06747210044267526,5.617727082857143
86,1,1,0,2,young leaf,0.165,0.02175,0.7,SKT_32,Fe,0.29654366,0.297,0.274954537,0.10835646778325125,2.3567531742857146
87,1,1,0,2,root,0.357,0.00262,0.7,SKT_33,Fe,3.973202778,3.973,3.951613655,12.927852742639041,33.87097418571429
