Cap,SaltCadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
26,10,2,3,shoot,0.0097,0.7,SKT_26,Na,16.0369206,16.04,15.85145865,14007.17996,135.8696456
27,10,2,3,root,0.0043,0.7,SKT_27,Na,3.421472877,3.421,3.236010931,6450.520128,27.73723655
1,10,0,1,shoot,0.10951,0.4,SKT_01,K,87.61030516,87.61,87.51737935,11987.58735,1312.76069
2,10,0,1,shoot,0.026,0.5,SKT_02,K,67.35581419,67.36,67.26288838,31044.41002,807.1546606
3,10,0,1,root,0.0029,0.7,SKT_03,K,4.983286623,4.983,4.890360815,14454.26842,41.91737841
4,10,0,2,shoot,0.04946,0.5,SKT_04,K,66.60089481,66.6,66.507969,16136.18334,798.095628
5,10,0,2,shoot,0.01384,0.7,SKT_05,K,27.23112127,27.23,27.13819546,16807.3052,232.613104
6,10,0,2,root,8.70E-04,0.7,SKT_06,K,0.277616309,0.278,0.184690501,1819.610847,1.583061437
7,10,0,3,shoot,0.06652,0.4,SKT_07,K,87.46629724,87.47,87.37337143,19702.35375,1310.600571
8,10,0,3,shoot,0.04741,0.5,SKT_08,K,119.4850541,119.5,119.3921283,30219.47985,1432.70554
9,10,0,3,root,0.00169,0.7,SKT_09,K,2.796949661,2.797,2.704023853,13714.40669,23.17734731
10,10,1,1,shoot,0.06685,0.4,SKT_10,K,75.21366645,75.21,75.12074064,16855.81316,1126.81111
11,10,1,1,shoot,0.0075,0.7,SKT_11,K,18.7694513,18.77,18.67652549,21344.60056,160.0845042
12,10,1,1,root,0.00146,0.7,SKT_12,K,1.65768861,1.658,1.564762802,9186.474376,13.41225259
13,10,1,2,shoot,0.01357,0.7,SKT_13,K,14.46999875,14.47,14.37707294,9081.212512,123.2320538
14,10,1,2,shoot,0.00244,0.7,SKT_14,K,2.962221107,2.962,2.869295299,10079.49168,24.59395971
15,10,1,2,root,8.60E-04,0.7,SKT_15,K,0.279112333,0.279,0.186186525,1855.679651,1.5958845
16,10,1,3,shoot,0.03447,0.5,SKT_16,K,78.21248987,78.21,78.11956406,27195.67069,937.4347687
17,10,1,3,shoot,0.01089,0.7,SKT_17,K,32.06982974,32.07,31.97690393,25168.75555,274.087748
18,10,1,3,root,0.0102,0.7,SKT_18,K,4.035383729,4.035,3.942457921,3312.98985,33.79249647
19,10,2,1,shoot,0.03178,0.5,SKT_19,K,47.06255836,47.06,46.96963255,17735.54407,563.6355906
20,10,2,1,shoot,0.00796,0.7,SKT_20,K,25.573736,25.57,25.48081019,27438.05835,218.4069445
21,10,2,1,root,0.00145,0.7,SKT_21,K,0.665214047,0.665,0.572288239,3382.984664,4.905327763
22,10,2,2,shoot,0.01486,0.7,SKT_22,K,19.22581172,19.23,19.13288591,11036.08109,163.996165
23,10,2,2,shoot,0.00285,0.7,SKT_23,K,4.551212673,4.551,4.458286865,13408.38155,38.21388741
24,10,2,2,root,0.00329,0.7,SKT_24,K,0.74272545,0.743,0.649799642,1692.921343,5.569711217
25,10,2,3,shoot,0.03215,0.5,SKT_25,K,72.83250429,72.83,72.73957848,27150.07595,872.8749418
26,10,2,3,shoot,0.0097,0.7,SKT_26,K,30.71442691,30.71,30.6215011,27058.76386,262.4700094
27,10,2,3,root,0.0043,0.7,SKT_27,K,1.286258954,1.286,1.193333146,2378.737168,10.22856982
1,10,0,1,shoot,0.10951,0.4,SKT_01,Fe,0.197924103,0.198,0.170874151,23.40528048,2.563112265
2,10,0,1,shoot,0.026,0.5,SKT_02,Fe,0.094855086,0.095,0.067805134,31.29467723,0.813661608
3,10,0,1,root,0.0029,0.7,SKT_03,Fe,2.048383736,2.048,2.021333784,5974.385568,17.32571815
4,10,0,2,shoot,0.04946,0.5,SKT_04,Fe,0.103601682,0.104,0.07655173,18.57300364,0.91862076
5,10,0,2,shoot,0.01384,0.7,SKT_05,Fe,0.062187006,0.062,0.035137054,21.76118126,0.301174749
6,10,0,2,root,8.70E-04,0.7,SKT_06,Fe,1.103418605,1.103,1.076368653,10604.61727,9.226017026
7,10,0,3,shoot,0.06652,0.4,SKT_07,Fe,0.112276163,0.112,0.085226211,19.21817747,1.278393165
8,10,0,3,shoot,0.04741,0.5,SKT_08,Fe,0.12384937,0.124,0.096799418,24.50101278,1.161593016
9,10,0,3,root,0.00169,0.7,SKT_09,Fe,1.323411354,1.323,1.296361402,6574.952166,11.11166916
10,10,1,1,shoot,0.06685,0.4,SKT_10,Fe,0.098948901,0.099,0.071898949,16.13289806,1.078484235
11,10,1,1,shoot,0.0075,0.7,SKT_11,Fe,0.05712658,0.057,0.030076628,34.37328914,0.257799669
12,10,1,1,root,0.00146,0.7,SKT_12,Fe,1.307073742,1.307,1.28002379,7514.816771,10.97163249
13,10,1,2,shoot,0.01357,0.7,SKT_13,Fe,0.062631413,0.063,0.035581461,22.47486746,0.304983951
14,10,1,2,shoot,0.00244,0.7,SKT_14,Fe,0.037249279,0.037,0.010199327,35.82901756,0.087422803
15,10,1,2,root,8.60E-04,0.7,SKT_15,Fe,1.813194486,1.813,1.786144534,17802.10499,15.30981029
16,10,1,3,shoot,0.03447,0.5,SKT_16,Fe,0.100243544,0.1,0.073193592,25.48079791,0.878323104
17,10,1,3,shoot,0.01089,0.7,SKT_17,Fe,0.107704707,0.108,0.080654755,63.48268792,0.691326471
18,10,1,3,root,0.0102,0.7,SKT_18,Fe,13.74116224,13.74,13.71411229,11524.46411,117.5495339
19,10,2,1,shoot,0.03178,0.5,SKT_19,Fe,0.081497696,0.081,0.054447744,20.55924884,0.653372928
20,10,2,1,shoot,0.00796,0.7,SKT_20,Fe,0.058187901,0.058,0.031137949,33.5297369,0.266896706
21,10,2,1,root,0.00145,0.7,SKT_21,Fe,0.902816001,0.903,0.875766049,5176.942162,7.506566134
22,10,2,2,shoot,0.01486,0.7,SKT_22,Fe,0.057550642,0.058,0.03050069,17.59316862,0.261434486
23,10,2,2,shoot,0.00285,0.7,SKT_23,Fe,0.051913398,0.052,0.024863446,74.7772812,0.213115251
24,10,2,2,root,0.00329,0.7,SKT_24,Fe,1.51474325,1.515,1.487693298,3875.883538,12.75165684
