Cap,Salt,Cadmium,SaltCadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
64,0,1,01,1,1,old leaf,0.0158,0.7,Fe,0.061473995,0.061,0.034424043,0.018674888,0.295063226
65,0,1,01,1,1,young leaf,0.0042,0.7,Fe,0.062124589,0.062,0.035074637,0.071580892,0.300639746
66,0,1,01,1,1,root,0.00109,0.7,Fe,0.370955782,0.371,0.34390583,2.704370878,2.947764257
67,0,1,01,1,2,old leaf,0.02225,0.5,Fe,0.054648588,0.055,0.027598636,0.014884658,0.331183632
68,0,1,01,1,2,young leaf,0.01885,0.7,Fe,0.079800313,0.08,0.052750361,0.023986523,0.452145951
69,0,1,01,1,2,root,0.00414,0.7,Fe,2.275895301,2.276,2.248845349,4.655994511,19.27581728
70,0,1,01,1,3,old leaf,0.05336,0.5,Fe,0.170412499,0.17,0.143362547,0.032240453,1.720350564
71,0,1,01,1,3,young leaf,0.01974,0.7,Fe,0.09857259,0.099,0.071522638,0.031056291,0.613051183
72,0,1,01,1,3,root,0.00194,0.7,Fe,1.4234436,1.423,1.396393648,6.169633202,11.96908841
73,0,1,01,2,1,old leaf,0.01725,0.7,Fe,0.062565708,0.063,0.035515756,0.017647581,0.304420766
74,0,1,01,2,1,young leaf,0.01065,0.7,Fe,0.054617434,0.055,0.027567482,0.022187108,0.236292703
75,0,1,01,2,1,root,9.00E-04,0.7,Fe,0.823698789,0.824,0.796648837,7.587131781,6.828418603
76,0,1,01,2,2,old leaf,0.06388,0.4,Fe,0.087569848,0.088,0.060519896,0.014210996,0.90779844
77,0,1,01,2,2,young leaf,0.02182,0.5,Fe,0.073480882,0.073,0.04643093,0.025534884,0.55717116
78,0,1,01,2,2,root,0.00432,0.7,Fe,1.057729846,1.058,1.030679894,2.04499979,8.834399091
79,0,1,01,2,3,old leaf,0.09999,0.4,Fe,0.260014652,0.26,0.2329647,0.0349482,3.4944705
80,0,1,01,2,3,young leaf,0.04808,0.5,Fe,0.108288181,0.108,0.081238229,0.020275764,0.974858748
81,0,1,01,2,3,root,0.00432,0.7,Fe,2.838381778,2.838,2.811331826,5.578039337,24.09712994
1,1,0,10,0,1,old leaf,0.10951,0.4,Zn,0.297609267,0.298,0.290462576,0.039785761,4.35693864
2,1,0,10,0,1,young leaf,0.026,0.5,Zn,0.200093789,0.2,0.192947098,0.089052507,2.315365176
3,1,0,10,0,1,root,0.0029,0.7,Zn,0.136130906,0.136,0.128984215,0.381234133,1.105578986
4,1,0,10,0,2,old leaf,0.04946,0.5,Zn,0.138089845,0.138,0.130943154,0.031769467,1.571317848
5,1,0,10,0,2,young leaf,0.01384,0.7,Zn,0.112295583,0.112,0.105148892,0.065121114,0.901276217
6,1,0,10,0,2,root,8.70E-04,0.7,Zn,0.04412155,0.044,0.036974859,0.364284325,0.316927363
7,1,0,10,0,3,old leaf,0.06652,0.4,Zn,0.724667963,0.725,0.717521272,0.161798242,10.76281908
8,1,0,10,0,3,young leaf,0.04741,0.5,Zn,0.280237571,0.28,0.27309088,0.069122349,3.27709056
9,1,0,10,0,3,root,0.00169,0.7,Zn,0.068471232,0.068,0.061324541,0.311028948,0.525638923
10,1,0,10,1,1,old leaf,0.06685,0.4,Zn,0.383007737,0.383,0.375861046,0.084336809,5.63791569
11,1,0,10,1,1,young leaf,0.0075,0.7,Zn,0.068648636,0.069,0.061501945,0.070287937,0.527159529
12,1,0,10,1,1,root,0.00146,0.7,Zn,0.080512551,0.081,0.07336586,0.430719335,0.628850229
13,1,0,10,1,2,old leaf,0.01357,0.7,Zn,0.083206109,0.083,0.076059418,0.048042584,0.651937869
14,1,0,10,1,2,young leaf,0.00244,0.7,Zn,0.022515297,0.023,0.015368606,0.053988077,0.131730909
15,1,0,10,1,2,root,8.60E-04,0.7,Zn,0.03368383,0.034,0.026537139,0.264489757,0.227461191
16,1,0,10,1,3,old leaf,0.03447,0.5,Zn,0.242391536,0.242,0.235244845,0.081895507,2.82293814
17,1,0,10,1,3,young leaf,0.01089,0.7,Zn,0.096175068,0.096,0.089028377,0.070073496,0.763100374
18,1,0,10,1,3,root,0.0102,0.7,Zn,0.606311025,0.606,0.599164334,0.50349944,5.135694291
19,1,0,10,2,1,old leaf,0.03178,0.5,Zn,0.15827765,0.158,0.151130959,0.057066441,1.813571508
20,1,0,10,2,1,young leaf,0.00796,0.7,Zn,0.076230307,0.076,0.069083616,0.074390111,0.59214528
21,1,0,10,2,1,root,0.00145,0.7,Zn,0.094165964,0.094,0.087019273,0.514399643,0.745879483
22,1,0,10,2,2,old leaf,0.01486,0.7,Zn,0.071430113,0.071,0.064283422,0.037079459,0.55100076
23,1,0,10,2,2,young leaf,0.00285,0.7,Zn,0.041800083,0.042,0.034653392,0.104220728,0.297029074
24,1,0,10,2,2,root,0.00329,0.7,Zn,0.030472751,0.03,0.02332606,0.060771324,0.199937657
25,1,0,10,2,3,old leaf,0.03215,0.5,Zn,0.233223797,0.233,0.226077106,0.084383368,2.712925272
26,1,0,10,2,3,young leaf,0.0097,0.7,Zn,0.097068791,0.097,0.0899221,0.079459882,0.770760857
27,1,0,10,2,3,root,0.0043,0.7,Zn,0.122790783,0.123,0.115644092,0.230519785,0.991235074
